transaction_id,date,importer,exporter,hs_code,quantity,unit_price,total_value,origin_country,destination_country,route,anomaly_flag
0,2023-11-24,Importer_16,Exporter_15,1001,1074.507122951685,29.585207096486446,31789.515759175425,USA,Germany,USA-Germany,0
1,2023-03-13,Importer_6,Exporter_38,1001,1097.1532807151038,34.569089569224076,37927.59003220847,Brazil,UAE,Brazil-UAE,0
2,2023-08-05,Importer_14,Exporter_15,1001,964.8769937914996,29.29758912915246,28268.56972427514,USA,China,USA-China,0
3,2023-09-16,Importer_13,Exporter_46,8501,1236.8819223261087,161.51152093729362,199770.6804947333,USA,Brazil,USA-Brazil,0
4,2023-11-29,Importer_29,Exporter_38,8501,929.5788421097571,158.13840065378946,147002.11137283847,Germany,China,Germany-China,0
5,2023-05-23,Importer_22,Exporter_18,1001,930.4873460781307,28.60281073928923,26614.55345517629,China,UAE,China-UAE,0
6,2023-03-21,Importer_6,Exporter_25,2709,1036.294340734905,56.60703828739541,58661.55342299196,India,USA,India-USA,0
7,2023-02-19,Importer_17,Exporter_3,3004,741.262325123045,113.25254964910833,83949.84827901113,India,Brazil,India-Brazil,0
8,2023-08-24,Importer_6,Exporter_36,8501,848.0753319498365,154.7137099889291,131208.88095605178,USA,UAE,USA-UAE,0
9,2023-05-31,Importer_13,Exporter_46,8501,863.7963886718184,128.81544447997064,111270.31574695375,India,Brazil,India-Brazil,0
10,2023-02-05,Importer_50,Exporter_19,1001,1219.847315338233,29.322671098540393,35769.1816181005,Brazil,China,Brazil-China,0
11,2023-02-10,Importer_18,Exporter_30,2709,1010.1292307031886,60.0267626965058,60634.78762422426,USA,UAE,USA-UAE,0
12,2023-11-22,Importer_23,Exporter_14,3004,918.3425913212226,121.3310710765184,111423.49022018934,China,Germany,China-Germany,0
13,2023-12-10,Importer_39,Exporter_41,3004,827.3509633866546,124.50837622014807,103012.12501544754,Brazil,USA,Brazil-USA,0
14,2023-03-29,Importer_11,Exporter_30,8501,909.9041965121793,145.62459375310084,132504.42897132775,Brazil,China,Brazil-China,0
15,2023-07-14,Importer_15,Exporter_44,3004,909.7440081655905,142.22733821410725,129390.46873762498,Brazil,UAE,Brazil-UAE,0
16,2023-06-16,Importer_21,Exporter_26,1001,997.9754162893099,26.8268672131323,26772.553974763745,China,USA,China-USA,0
17,2023-05-18,Importer_46,Exporter_21,1001,1123.3817368154782,26.337469050086934,29587.031724810564,China,Brazil,China-Brazil,0
18,2023-04-19,Importer_10,Exporter_17,7208,1031.3295392507134,64.3226390089618,66337.83765250254,Germany,UAE,Germany-UAE,0
19,2023-03-13,Importer_35,Exporter_17,2709,800.7720926652354,71.37802865108387,57157.533373247556,Brazil,UAE,Brazil-UAE,0
20,2023-10-27,Importer_24,Exporter_15,7208,1110.7699869993116,81.37094624951976,90384.40490770075,UAE,Germany,UAE-Germany,0
21,2023-03-12,Importer_49,Exporter_4,8501,982.652757641764,145.48344456616067,142959.70799416048,Germany,USA,Germany-USA,0
22,2023-02-26,Importer_44,Exporter_28,2709,778.2217014448859,64.96109054123704,50554.130408716774,Brazil,China,Brazil-China,0
23,2023-11-02,Importer_39,Exporter_30,1001,930.9041843560319,33.171366678656746,30879.364041969813,Germany,UAE,Germany-UAE,0
24,2023-09-28,Importer_44,Exporter_47,3004,1051.5427434352691,98.8435181356472,103938.18423115223,UAE,USA,UAE-USA,0
25,2023-02-28,Importer_8,Exporter_19,8501,1048.6125954092192,144.22376579375526,151234.85736868109,India,Germany,India-Germany,0
26,2023-08-11,Importer_47,Exporter_47,2709,898.4616999541062,74.28173402188608,66739.29302484253,Germany,USA,Germany-USA,0
27,2023-05-15,Importer_7,Exporter_41,8501,1154.6499283743926,163.96920178674299,189327.02709866912,China,Brazil,China-Brazil,0
28,2023-06-02,Importer_10,Exporter_24,8501,874.1173715166042,145.36181436223177,127063.2870891986,UAE,China,UAE-China,0
29,2023-03-24,Importer_39,Exporter_21,8501,1049.6895147105347,164.6331769068354,172813.71957258965,UAE,USA,UAE-USA,0
30,2023-09-08,Importer_20,Exporter_16,1001,928.1238643232065,29.44302307000855,27326.772349093655,USA,Germany,USA-Germany,0
31,2023-01-30,Importer_6,Exporter_47,2709,834.0497538990958,61.6265536314353,51399.61188994804,UAE,USA,UAE-USA,0
32,2023-09-06,Importer_9,Exporter_43,1001,1121.8788733591298,34.06872008571247,38220.977306546665,UAE,China,UAE-China,0
33,2023-09-01,Importer_34,Exporter_39,8501,989.1984817629499,165.05299346838035,163270.17054935193,China,Germany,China-Germany,0
34,2023-08-05,Importer_46,Exporter_20,2709,1054.2454037571451,65.48416171776412,69036.37650984242,UAE,China,UAE-China,0
35,2023-07-24,Importer_29,Exporter_8,3004,1054.2093408262622,138.45643879759163,145962.07107796078,Germany,Brazil,Germany-Brazil,0
36,2023-05-07,Importer_2,Exporter_38,2709,994.6260941335073,80.95250559069804,80517.47444599691,USA,Germany,USA-Germany,0
37,2023-10-11,Importer_1,Exporter_5,2709,607.0382343865383,75.75331753062656,45985.16012271435,UAE,China,UAE-China,0
38,2023-12-29,Importer_3,Exporter_22,1001,1013.0570602357257,29.102977948602398,29482.977284716293,China,USA,China-USA,0
39,2023-02-06,Importer_43,Exporter_32,8501,1013.7641164803254,120.18646628098661,121840.72680223681,China,Germany,China-Germany,0
40,2023-04-20,Importer_37,Exporter_31,8501,967.0492168243732,155.3566885726762,150237.56401263457,China,Brazil,China-Brazil,0
41,2023-05-05,Importer_7,Exporter_7,7208,1221.6841067112273,75.85383825381082,92669.42862772479,Germany,China,Germany-China,0
42,2023-12-04,Importer_27,Exporter_30,7208,878.7259595660219,75.98594365132371,66770.8212485391,India,UAE,India-UAE,0
43,2023-01-28,Importer_47,Exporter_22,1001,1137.310317655311,30.986253328979053,35240.985616529106,USA,UAE,USA-UAE,0
44,2023-02-25,Importer_35,Exporter_29,2709,920.5359694349441,73.59287203179349,67744.88579928881,China,India,China-India,0
45,2023-03-13,Importer_30,Exporter_16,7208,1014.5616324022061,87.74915992426311,89026.93093468262,China,Germany,China-Germany,0
46,2023-02-08,Importer_4,Exporter_42,7208,894.6920359183971,77.37870282721785,69230.10916920817,UAE,USA,UAE-USA,0
47,2023-10-04,Importer_11,Exporter_27,1001,941.1837770301763,25.609455155603644,24103.20373103596,USA,India,USA-India,0
48,2023-09-06,Importer_4,Exporter_11,7208,1044.4180415596863,82.08844217743912,85734.65001364652,China,UAE,China-UAE,0
49,2023-07-14,Importer_30,Exporter_19,1001,1000.7670184963691,29.29623859987456,29318.709356754705,Germany,India,Germany-India,0
50,2023-08-05,Importer_10,Exporter_13,8501,787.6943886924379,143.69032015851963,113184.0588982858,Brazil,Germany,Brazil-Germany,0
51,2023-06-01,Importer_48,Exporter_35,2709,948.5928225209846,64.38405911544866,61074.25636168137,USA,Brazil,USA-Brazil,0
52,2023-02-01,Importer_38,Exporter_31,3004,975.8071432500986,124.84861028177446,121828.16573780323,USA,China,USA-China,0
53,2023-09-15,Importer_33,Exporter_6,8501,1282.9278851815795,152.61866719247757,195798.74394047656,China,USA,China-USA,0
54,2023-04-06,Importer_44,Exporter_16,1001,1038.6325586084147,29.7766622527015,30927.010902341957,UAE,USA,UAE-USA,0
55,2023-07-26,Importer_38,Exporter_39,1001,712.1843177051437,29.920458373652348,21308.88123226475,UAE,China,UAE-China,0
56,2023-01-21,Importer_43,Exporter_38,8501,1009.034531491154,186.9486316872793,188637.62498748617,USA,UAE,USA-UAE,0
57,2023-10-17,Importer_14,Exporter_43,8501,971.1458552828316,154.52321013500418,150064.57506760734,India,Germany,India-Germany,0
58,2023-06-10,Importer_9,Exporter_43,2709,994.7932345442135,61.81925373666328,61497.37538180472,India,UAE,India-UAE,0
59,2023-11-27,Importer_49,Exporter_5,3004,1171.423422177253,129.0231963922413,151140.7942580471,Germany,India,Germany-India,0
60,2023-01-05,Importer_7,Exporter_5,7208,3798.019479823072,72.72490036164209,276210.5882417086,UAE,Brazil,UAE-Brazil,1
61,2023-10-03,Importer_9,Exporter_23,2709,1210.419146640415,60.18704256045403,72851.5486948351,UAE,India,UAE-India,0
62,2023-02-05,Importer_11,Exporter_29,2709,1088.0285640700406,85.33318938066985,92844.94750936705,India,Germany,India-Germany,0
63,2023-10-06,Importer_1,Exporter_43,3004,851.4195512303968,113.20442724476673,96384.4626420334,UAE,Brazil,UAE-Brazil,0
64,2023-10-11,Importer_9,Exporter_17,3004,1014.9477047631461,113.95829215060562,115661.70705698522,Brazil,USA,Brazil-USA,0
65,2023-03-01,Importer_10,Exporter_18,1001,767.4004853400801,30.205688924418084,23179.86034062992,Brazil,UAE,Brazil-UAE,0
66,2023-05-25,Importer_14,Exporter_44,8501,840.6544429410842,157.10388645952773,132070.08015551363,China,Germany,China-Germany,0
67,2023-11-21,Importer_17,Exporter_4,3004,862.0863648649295,138.59921286021046,119484.49158779942,UAE,Germany,UAE-Germany,0
68,2023-02-17,Importer_1,Exporter_22,7208,882.5120061495644,77.4235078703546,68327.17525380323,India,USA,India-USA,0
69,2023-03-08,Importer_36,Exporter_46,3004,1122.0275826054506,105.22962820279254,118070.54535084966,China,UAE,China-UAE,0
70,2023-08-07,Importer_5,Exporter_45,8501,1034.1189901906193,169.60714131423643,175393.96570499585,USA,China,USA-China,0
71,2023-03-18,Importer_38,Exporter_36,8501,758.8775148158159,152.76950787798455,115933.34447808012,USA,Germany,USA-Germany,0
72,2023-03-17,Importer_20,Exporter_24,7208,1038.9824191372636,86.25458297421848,89616.99528022934,China,USA,China-USA,0
73,2023-01-21,Importer_43,Exporter_7,3004,814.4573933682877,104.15452064298869,84829.41939041208,China,India,China-India,0
74,2023-07-01,Importer_48,Exporter_10,8501,1078.2912348425345,154.4547700984978,166547.22477682895,Germany,Brazil,Germany-Brazil,0
75,2023-05-02,Importer_2,Exporter_12,2709,1037.5739275518815,72.42513746647883,75146.43433457936,China,UAE,China-UAE,0
76,2023-06-20,Importer_18,Exporter_11,7208,897.9962917632264,81.85802957728802,73508.20701144915,Brazil,China,Brazil-China,0
77,2023-12-26,Importer_31,Exporter_15,1001,1043.9608709948022,27.856945745920896,29081.56134416653,Germany,USA,Germany-USA,0
78,2023-04-13,Importer_15,Exporter_15,7208,1279.8661766717134,83.7906633672943,107240.83596468555,India,Germany,India-Germany,0
79,2023-01-13,Importer_18,Exporter_5,2709,821.3044754196027,74.59587526043681,61265.92619923918,Germany,India,Germany-India,0
80,2023-05-23,Importer_26,Exporter_44,3004,853.7977494659018,129.44501524490943,110519.86269568301,Brazil,UAE,Brazil-UAE,0
81,2023-10-02,Importer_17,Exporter_12,3004,1173.7893368511106,110.15181217977947,129295.02257145144,USA,China,USA-China,0
82,2023-10-25,Importer_39,Exporter_28,3004,1144.5064193866483,124.95337112323799,143009.93537454813,USA,China,USA-China,0
83,2023-06-26,Importer_33,Exporter_8,3004,1123.3090239991734,142.76151579184736,160365.29896878265,Germany,Brazil,Germany-Brazil,0
84,2023-07-17,Importer_3,Exporter_46,8501,963.1917825995695,138.69395753463766,133588.88019357665,China,Germany,China-Germany,0
85,2023-08-12,Importer_44,Exporter_47,1001,866.5728355561715,27.552569145103686,23876.307970929982,UAE,Brazil,UAE-Brazil,0
86,2023-12-10,Importer_5,Exporter_43,2709,988.4347435878843,72.38806382371651,71550.87730441864,India,UAE,India-UAE,0
87,2023-06-19,Importer_47,Exporter_20,8501,1041.5036198995028,162.40774873554037,169148.2582077942,India,USA,India-USA,0
88,2023-09-17,Importer_21,Exporter_26,3004,1001.950283781686,137.4424089258878,137710.46062693183,Brazil,Germany,Brazil-Germany,0
89,2023-12-23,Importer_13,Exporter_27,3004,960.3014750143066,152.64202999907542,146582.36655729017,UAE,China,UAE-China,0
90,2023-12-07,Importer_40,Exporter_37,7208,1093.850102164751,73.14273954866974,80007.19312792216,Brazil,China,Brazil-China,0
91,2023-06-04,Importer_20,Exporter_19,7208,839.3661252908332,83.85977932194548,70389.05803720572,UAE,USA,UAE-USA,0
92,2023-04-18,Importer_42,Exporter_21,7208,966.4805822011224,85.71200395273674,82838.9874818659,UAE,Brazil,UAE-Brazil,0
93,2023-08-27,Importer_33,Exporter_31,7208,1070.9856436860318,79.41736869874502,85054.86173567636,Germany,China,Germany-China,0
94,2023-03-28,Importer_43,Exporter_41,1001,872.9809422897392,25.455458325942406,22222.12999579839,India,Brazil,India-Brazil,0
95,2023-11-14,Importer_44,Exporter_20,3004,933.0227571899468,130.27678553188167,121551.20563479961,USA,India,USA-India,0
96,2023-04-26,Importer_3,Exporter_16,2709,1032.1140616195305,61.27982854901609,63247.77273907346,China,USA,China-USA,0
97,2023-09-01,Importer_27,Exporter_41,8501,1025.9771388776774,155.77976069593257,159826.47317386215,USA,UAE,USA-UAE,0
98,2023-10-22,Importer_32,Exporter_26,2709,867.42138456983,71.0760757416187,61652.908029585,Brazil,Germany,Brazil-Germany,0
99,2023-05-05,Importer_49,Exporter_50,2709,1008.7313077668999,61.999207915185636,62540.54208079714,Brazil,USA,Brazil-USA,0
100,2023-02-24,Importer_45,Exporter_34,7208,1053.6681040522426,84.48627621094587,89020.49447362142,China,India,China-India,0
101,2023-08-26,Importer_8,Exporter_30,1001,1162.4576864762917,33.16140615610471,38548.73148052614,UAE,China,UAE-China,0
102,2023-03-10,Importer_36,Exporter_39,7208,793.3495948064364,72.49739968067902,57515.782661186975,Brazil,UAE,UNKNOWN-ROUTE,1
103,2023-06-12,Importer_28,Exporter_36,7208,1077.2552900812989,84.11028760729766,90608.25227522092,UAE,Brazil,UAE-Brazil,0
104,2023-08-17,Importer_29,Exporter_17,2709,1077.2571529459071,96.96912043458305,104460.67860302771,Brazil,Germany,Brazil-Germany,0
105,2023-05-07,Importer_41,Exporter_16,3004,1085.6335766039751,133.6267876821672,145069.72744149118,UAE,Germany,UAE-Germany,0
106,2023-05-21,Importer_16,Exporter_18,7208,1143.1002645239803,85.21113001044638,97404.86525532854,USA,Germany,USA-Germany,0
107,2023-06-21,Importer_9,Exporter_10,3004,952.7096133039481,129.10763064591922,123002.08086726266,UAE,USA,UAE-USA,0
108,2023-04-29,Importer_46,Exporter_14,7208,884.0762178193643,78.10545114607993,69051.17184030147,Brazil,China,Brazil-China,0
109,2023-02-02,Importer_35,Exporter_30,7208,927.1954678256345,80.65499311509058,74782.94407381974,Germany,India,Germany-India,0
110,2023-08-01,Importer_25,Exporter_50,1001,1347.1987850010264,24.398204422224758,32869.23135382786,China,UAE,China-UAE,0
111,2023-10-27,Importer_31,Exporter_1,1001,1102.939028556177,25.161852386431043,27751.98902776418,UAE,Germany,UAE-Germany,0
112,2023-06-30,Importer_35,Exporter_48,3004,929.210220131585,133.06740716360838,123647.59470283579,Germany,UAE,Germany-UAE,0
113,2023-10-07,Importer_15,Exporter_18,8501,1009.6420028643195,133.8338283310604,135124.25448717133,China,UAE,China-UAE,0
114,2023-08-12,Importer_22,Exporter_43,7208,892.7044436110048,85.4367819914774,76269.79493161655,USA,UAE,USA-UAE,0
115,2023-12-14,Importer_30,Exporter_9,7208,890.4450052424295,81.7316687166558,72777.5561788751,Brazil,China,Brazil-China,0
116,2023-11-15,Importer_38,Exporter_37,8501,1006.835775985572,140.22599478591275,141184.54827362322,USA,UAE,USA-UAE,0
117,2023-12-06,Importer_9,Exporter_30,1001,1321.591613398799,31.901757066954033,42161.09459237232,USA,UAE,UNKNOWN-ROUTE,1
118,2023-04-04,Importer_21,Exporter_14,1001,696.2286120013589,30.559362944308283,21276.302846361516,India,UAE,India-UAE,0
119,2023-08-21,Importer_18,Exporter_49,3004,900.7320302847418,130.2292000175547,117301.61173416977,India,UAE,India-UAE,0
120,2023-08-04,Importer_2,Exporter_48,3004,881.1218892350948,118.62316270239721,104521.46522737827,USA,UAE,USA-UAE,0
121,2023-10-04,Importer_42,Exporter_5,1001,1075.7480918470685,32.59726558251037,35066.44624981765,India,China,India-China,0
122,2023-11-30,Importer_13,Exporter_2,1001,819.9555389416336,28.996496292477154,23775.837744917186,USA,India,USA-India,0
123,2023-11-15,Importer_31,Exporter_43,2709,928.7582033258566,65.42669537198401,60765.580043232,China,India,China-India,0
124,2023-02-28,Importer_45,Exporter_17,8501,1264.8181360421645,156.07472566441433,197406.14359815672,China,UAE,China-UAE,0
125,2023-07-08,Importer_48,Exporter_46,2709,810.8674068497432,76.42503362938344,61970.56883746257,UAE,Brazil,UAE-Brazil,0
126,2023-02-28,Importer_38,Exporter_2,2709,1318.323429551895,77.22725682385803,101810.5020709135,India,USA,India-USA,0
127,2023-06-09,Importer_26,Exporter_46,8501,772.0945051068979,142.73648890700622,110206.05876335119,Brazil,Germany,UNKNOWN-ROUTE,1
128,2023-04-12,Importer_7,Exporter_45,1001,1190.0366723779935,27.876991603143658,33174.64232331434,UAE,China,UAE-China,0
129,2023-06-04,Importer_3,Exporter_23,8501,1066.5729142219343,161.61951080144004,172378.9926306153,USA,Brazil,USA-Brazil,0
130,2023-09-30,Importer_5,Exporter_33,7208,860.9604292632876,79.5237971515056,68466.84253220687,Brazil,India,Brazil-India,0
131,2023-11-28,Importer_32,Exporter_7,3004,513.8098989896391,107.70734830398852,55341.10175251422,USA,UAE,USA-UAE,0
132,2023-08-10,Importer_46,Exporter_10,3004,962.1147772910259,105.0266018164218,101047.64561623993,Brazil,Germany,Brazil-Germany,0
133,2023-08-11,Importer_42,Exporter_18,2709,1244.8616955897453,59.98901035427557,74678.02114637427,Brazil,UAE,Brazil-UAE,0
134,2023-11-12,Importer_28,Exporter_47,8501,933.9933269954524,151.96110865929137,141930.661450609,Germany,UAE,Germany-UAE,0
135,2023-10-31,Importer_6,Exporter_18,3004,1216.1909933599172,102.76965418584672,124987.5278115401,India,China,India-China,0
136,2023-08-19,Importer_40,Exporter_43,2709,1174.474562823244,70.0716314271371,82297.34868669834,Germany,Brazil,Germany-Brazil,0
137,2023-07-14,Importer_21,Exporter_12,3004,852.7737023428074,125.54524169115925,107061.68056849245,USA,UAE,USA-UAE,0
138,2023-09-07,Importer_22,Exporter_18,2709,1029.8589543360206,65.79848185988844,67763.15572512233,India,Germany,India-Germany,0
139,2023-11-02,Importer_34,Exporter_13,3004,1010.4703127485028,115.37623683765888,116584.26212109449,UAE,USA,UAE-USA,0
140,2023-02-13,Importer_32,Exporter_36,2709,1017.0276017876872,74.63491472164733,75905.76832898553,Brazil,Germany,Brazil-Germany,0
141,2023-05-04,Importer_29,Exporter_2,7208,1237.9025224218028,70.0974760093852,86773.84236741975,Brazil,Germany,Brazil-Germany,0
142,2023-02-17,Importer_45,Exporter_16,3004,1319.95500619844,96.57494640572997,127474.58398158933,China,UAE,China-UAE,0
143,2023-06-06,Importer_36,Exporter_34,8501,977.2322357446625,158.82475809726864,155208.67344699902,India,UAE,India-UAE,0
144,2023-06-26,Importer_22,Exporter_23,7208,1042.148780160255,75.01840384143524,78180.33805292113,Brazil,UAE,Brazil-UAE,0
145,2023-12-26,Importer_17,Exporter_15,7208,968.7816624464087,76.05599252272934,73681.65087518137,India,Germany,India-Germany,0
146,2023-03-03,Importer_48,Exporter_35,2709,911.5952864583683,75.94721467914717,69233.12292115235,India,USA,India-USA,0
147,2023-12-20,Importer_48,Exporter_31,2709,1053.552322894757,65.14963283317542,68638.5470071325,China,India,China-India,0
148,2023-05-22,Importer_19,Exporter_7,8501,1134.9399813149876,154.60949281314913,175472.4948844752,UAE,Brazil,UAE-Brazil,0
